2021-10-06 21:55:20.3181||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 21:56:47.9698||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 21:56:50.1608|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 21:56:50.7776||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 21:56:50.7776||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 21:56:50.7868||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 22:00:03.7675||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 22:00:06.0631|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 22:00:06.5756||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 22:00:06.5756||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 22:00:06.5756||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 22:00:30.0940||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 22:00:32.0933|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 22:00:32.6057||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
